variant,train_through,test_year,train_trade_count,train_profit_factor,train_expectancy,train_total_return_pct,test_trade_count,test_profit_factor,test_expectancy,test_total_return_pct,test_max_drawdown_pct
long_only,2021,2022,91,0.4180319822064504,-0.7722857597764049,-3.513900206982612,91,0.4148958813613826,-0.7203347796280583,-3.3968864472071036,3.482067394495736
long_only,2022,2023,182,0.4165227162101681,-0.7463102697022316,-6.791423454290335,93,0.34808170612770817,-0.5065915031767303,-2.527289415922629,2.8459865138151685
long_only,2023,2024,275,0.40030912008662645,-0.6652417413863347,-9.1470739440622,110,0.16942722013045622,-1.0902829371109763,-6.600289516727697,6.600289516727697
long_only,2024,2025,385,0.32613411666642456,-0.7866820830219468,-15.143630098172622,116,0.22542311253354977,-0.7467074022542108,-5.103804155286196,5.103804155286196
long_only,2025,2026,501,0.3060690766252837,-0.7774264683132494,-19.47453303124712,27,0.43099598388851473,-0.5186689145888607,-0.8695423461085761,1.0997617324589926
short_only,2021,2022,60,0.4089189038516143,-0.7852105833068974,-2.355631749920717,81,0.3245975186762864,-0.8290013005739586,-3.438452547233073,3.438452547233073
short_only,2022,2023,141,0.3621179321718335,-0.810366952800741,-5.713087017245211,83,0.09675601337492111,-1.057504432296701,-4.654562605983337,4.654562605983337
short_only,2023,2024,224,0.268790365193298,-0.9019402152925476,-10.101730411276556,105,0.1961039840290468,-0.8704172149775812,-5.083179464452792,5.168308754821805
short_only,2024,2025,329,0.2476010985743572,-0.891879683277133,-14.671420789908963,106,0.2499808133423277,-0.6606563882698522,-4.103524153623894,4.103524153623894
short_only,2025,2026,435,0.24806078591772363,-0.8355356159880024,-18.172899647739136,29,0.40498586318907065,-0.4923426558576487,-0.8724454953436434,0.8838614115650456
both,2021,2022,150,0.4456615042634786,-0.7002656760135343,-5.251992570101582,174,0.3477829861316723,-0.783139977344437,-7.190987956066053,7.210786537577974
both,2022,2023,324,0.39433419923145496,-0.7447722452467969,-12.06531037299815,178,0.19743689173229087,-0.7170668991510036,-7.257540146572971,7.28943462287247
both,2023,2024,502,0.3381605942496531,-0.7349484372686071,-18.447205775442143,215,0.18360803513060373,-0.8576281563973481,-11.304950086548061,11.384499176116957
both,2024,2025,717,0.2935970214751724,-0.7717352428650917,-27.666708456713664,220,0.23167069858561198,-0.5889181652357985,-8.955903539543996,8.955903539543996
both,2025,2026,937,0.28262729747368515,-0.7288112758656845,-34.14480827430752,57,0.4368317070385006,-0.3847449757021305,-1.6650519906136196,1.8750380168700675
